Date,Open,High,Low,Close
03/16/2020,"0.277%","0.277%","0.112%","0.239%"
03/13/2020,"0.298%","0.343%","0.255%","0.277%"
03/12/2020,"0.402%","0.438%","0.213%","0.333%"
03/11/2020,"0.433%","0.456%","0.383%","0.417%"
03/10/2020,"0.394%","0.458%","0.340%","0.456%"
03/09/2020,"0.471%","0.486%","0.235%","0.374%"
03/06/2020,"0.624%","0.647%","0.400%","0.471%"
03/05/2020,"0.728%","0.728%","0.610%","0.624%"
03/04/2020,"0.935%","0.948%","0.695%","0.728%"
03/03/2020,"1.196%","1.206%","0.915%","0.935%"
03/02/2020,"1.295%","1.295%","1.134%","1.198%"
02/28/2020,"1.439%","1.451%","1.265%","1.295%"
02/27/2020,"1.518%","1.526%","1.413%","1.526%"
02/26/2020,"1.533%","1.546%","1.505%","1.518%"
02/25/2020,"1.544%","1.549%","1.490%","1.503%"
02/24/2020,"1.554%","1.561%","1.500%","1.513%"
02/21/2020,"1.579%","1.582%","1.518%","1.554%"
02/20/2020,"1.587%","1.595%","1.538%","1.579%"
02/19/2020,"1.582%","1.597%","1.572%","1.587%"
02/18/2020,"1.579%","1.589%","1.569%","1.582%"
02/16/2020,"1.579%","1.579%","1.579%","1.579%"
02/14/2020,"1.587%","1.592%","1.571%","1.579%"
02/13/2020,"1.582%","1.595%","1.564%","1.587%"
02/12/2020,"1.577%","1.590%","1.564%","1.582%"
02/11/2020,"1.569%","1.587%","1.562%","1.577%"
02/10/2020,"1.566%","1.571%","1.551%","1.569%"
02/07/2020,"1.567%","1.577%","1.556%","1.566%"
02/06/2020,"1.567%","1.579%","1.554%","1.567%"
02/05/2020,"1.572%","1.582%","1.554%","1.567%"
02/04/2020,"1.569%","1.582%","1.564%","1.572%"
02/03/2020,"1.549%","1.570%","1.544%","1.569%"
01/31/2020,"1.562%","1.570%","1.542%","1.549%"
01/30/2020,"1.562%","1.573%","1.542%","1.562%"
01/29/2020,"1.565%","1.578%","1.542%","1.555%"
01/28/2020,"1.552%","1.575%","1.542%","1.565%"
01/27/2020,"1.533%","1.559%","1.518%","1.552%"
01/24/2020,"1.556%","1.564%","1.528%","1.533%"
01/23/2020,"1.551%","1.564%","1.538%","1.556%"
01/22/2020,"1.554%","1.564%","1.544%","1.551%"
01/21/2020,"1.561%","1.574%","1.538%","1.554%"
01/20/2020,"1.561%","1.561%","1.561%","1.561%"
01/17/2020,"1.554%","1.571%","1.549%","1.561%"
01/16/2020,"1.569%","1.574%","1.546%","1.554%"
01/15/2020,"1.567%","1.582%","1.564%","1.569%"
01/14/2020,"1.551%","1.569%","1.551%","1.567%"
01/13/2020,"1.538%","1.559%","1.536%","1.551%"
01/10/2020,"1.536%","1.546%","1.525%","1.538%"
01/09/2020,"1.541%","1.546%","1.528%","1.536%"
01/08/2020,"1.541%","1.554%","1.526%","1.541%"
01/07/2020,"1.541%","1.554%","1.533%","1.541%"
01/06/2020,"1.520%","1.548%","1.515%","1.541%"
01/03/2020,"1.533%","1.538%","1.500%","1.520%"
01/02/2020,"1.554%","1.559%","1.528%","1.533%"
