Date,Open,High,Low,Close
12/31/2020,"0.083%","0.099%","0.061%","0.079%"
12/30/2020,"0.095%","0.104%","0.068%","0.084%"
12/29/2020,"0.093%","0.107%","0.084%","0.095%"
12/28/2020,"0.090%","0.104%","0.080%","0.094%"
12/24/2020,"0.085%","0.094%","0.074%","0.091%"
12/23/2020,"0.088%","0.094%","0.074%","0.085%"
12/22/2020,"0.088%","0.099%","0.081%","0.089%"
12/21/2020,"0.081%","0.094%","0.058%","0.089%"
12/18/2020,"0.086%","0.096%","0.074%","0.081%"
12/17/2020,"0.080%","0.096%","0.070%","0.088%"
12/16/2020,"0.078%","0.094%","0.071%","0.080%"
12/15/2020,"0.068%","0.084%","0.066%","0.079%"
12/14/2020,"0.076%","0.089%","0.068%","0.068%"
12/11/2020,"0.075%","0.084%","0.068%","0.076%"
12/10/2020,"0.074%","0.089%","0.068%","0.076%"
12/09/2020,"0.079%","0.094%","0.066%","0.073%"
12/08/2020,"0.080%","0.091%","0.070%","0.078%"
12/07/2020,"0.084%","0.099%","0.065%","0.090%"
12/04/2020,"0.084%","0.099%","0.071%","0.084%"
12/03/2020,"0.086%","0.099%","0.069%","0.083%"
12/02/2020,"0.085%","0.097%","0.074%","0.085%"
12/01/2020,"0.090%","0.099%","0.074%","0.086%"
11/30/2020,"0.090%","0.094%","0.078%","0.091%"
11/27/2020,"0.092%","0.097%","0.076%","0.092%"
11/25/2020,"0.090%","0.104%","0.076%","0.090%"
11/24/2020,"0.092%","0.104%","0.074%","0.090%"
11/23/2020,"0.066%","0.092%","0.065%","0.092%"
11/20/2020,"0.065%","0.084%","0.056%","0.066%"
11/19/2020,"0.085%","0.089%","0.053%","0.066%"
11/18/2020,"0.085%","0.109%","0.074%","0.085%"
11/17/2020,"0.093%","0.099%","0.080%","0.085%"
11/16/2020,"0.091%","0.104%","0.083%","0.093%"
11/13/2020,"0.093%","0.104%","0.086%","0.090%"
11/12/2020,"0.100%","0.109%","0.086%","0.093%"
11/10/2020,"0.096%","0.114%","0.084%","0.100%"
11/09/2020,"0.095%","0.107%","0.083%","0.103%"
11/06/2020,"0.099%","0.104%","0.081%","0.096%"
11/05/2020,"0.098%","0.104%","0.084%","0.098%"
11/04/2020,"0.096%","0.114%","0.086%","0.099%"
11/03/2020,"0.090%","0.104%","0.088%","0.096%"
11/02/2020,"0.095%","0.102%","0.083%","0.090%"
10/30/2020,"0.094%","0.112%","0.084%","0.097%"
10/29/2020,"0.093%","0.104%","0.086%","0.089%"
10/28/2020,"0.097%","0.107%","0.081%","0.097%"
10/27/2020,"0.095%","0.112%","0.086%","0.095%"
10/26/2020,"0.094%","0.104%","0.084%","0.095%"
10/23/2020,"0.094%","0.109%","0.081%","0.094%"
10/22/2020,"0.094%","0.109%","0.084%","0.091%"
10/21/2020,"0.104%","0.114%","0.084%","0.093%"
10/20/2020,"0.099%","0.114%","0.093%","0.100%"
10/19/2020,"0.109%","0.109%","0.094%","0.096%"
10/16/2020,"0.114%","0.117%","0.091%","0.107%"
10/15/2020,"0.117%","0.117%","0.094%","0.104%"
10/14/2020,"0.104%","0.124%","0.094%","0.114%"
10/13/2020,"0.109%","0.117%","0.096%","0.098%"
10/11/2020,"0.107%","0.109%","0.104%","0.109%"
10/09/2020,"0.086%","0.114%","0.079%","0.109%"
10/08/2020,"0.099%","0.117%","0.079%","0.095%"
10/07/2020,"0.104%","0.114%","0.091%","0.093%"
10/06/2020,"0.094%","0.112%","0.090%","0.098%"
10/05/2020,"0.094%","0.109%","0.089%","0.094%"
10/02/2020,"0.097%","0.109%","0.089%","0.094%"
10/01/2020,"0.102%","0.112%","0.092%","0.094%"
09/30/2020,"0.095%","0.119%","0.089%","0.107%"
09/29/2020,"0.104%","0.107%","0.089%","0.097%"
09/28/2020,"0.096%","0.107%","0.091%","0.102%"
09/25/2020,"0.094%","0.112%","0.086%","0.101%"
09/24/2020,"0.101%","0.109%","0.084%","0.101%"
09/23/2020,"0.099%","0.112%","0.084%","0.099%"
09/22/2020,"0.099%","0.109%","0.079%","0.096%"
09/21/2020,"0.094%","0.104%","0.076%","0.099%"
09/18/2020,"0.096%","0.117%","0.088%","0.096%"
09/17/2020,"0.117%","0.119%","0.058%","0.094%"
09/16/2020,"0.112%","0.127%","0.099%","0.110%"
09/15/2020,"0.119%","0.122%","0.103%","0.112%"
09/14/2020,"0.119%","0.122%","0.056%","0.112%"
09/11/2020,"0.117%","0.129%","0.109%","0.119%"
09/10/2020,"0.124%","0.124%","0.104%","0.114%"
09/09/2020,"0.132%","0.132%","0.107%","0.117%"
09/08/2020,"0.114%","0.122%","0.108%","0.114%"
09/06/2020,"0.114%","0.114%","0.114%","0.114%"
09/04/2020,"0.114%","0.125%","0.101%","0.114%"
09/03/2020,"0.114%","0.120%","0.096%","0.107%"
09/02/2020,"0.112%","0.120%","0.086%","0.103%"
09/01/2020,"0.112%","0.120%","0.094%","0.109%"
08/31/2020,"0.107%","0.122%","0.099%","0.099%"
08/28/2020,"0.101%","0.119%","0.074%","0.107%"
08/27/2020,"0.107%","0.112%","0.086%","0.107%"
08/26/2020,"0.107%","0.119%","0.089%","0.101%"
08/25/2020,"0.104%","0.119%","0.089%","0.104%"
08/24/2020,"0.096%","0.112%","0.089%","0.096%"
08/21/2020,"0.109%","0.109%","0.074%","0.096%"
08/20/2020,"0.109%","0.112%","0.086%","0.099%"
08/19/2020,"0.099%","0.119%","0.086%","0.100%"
08/18/2020,"0.096%","0.114%","0.079%","0.096%"
08/17/2020,"0.101%","0.107%","0.089%","0.101%"
08/14/2020,"0.107%","0.109%","0.094%","0.101%"
08/13/2020,"0.117%","0.124%","0.094%","0.101%"
08/12/2020,"0.104%","0.122%","0.097%","0.107%"
08/11/2020,"0.101%","0.114%","0.086%","0.109%"
08/10/2020,"0.099%","0.112%","0.089%","0.101%"
08/07/2020,"0.094%","0.107%","0.081%","0.094%"
08/06/2020,"0.104%","0.114%","0.086%","0.097%"
08/05/2020,"0.102%","0.107%","0.076%","0.099%"
08/04/2020,"0.102%","0.107%","0.071%","0.086%"
08/03/2020,"0.096%","0.104%","0.089%","0.097%"
07/31/2020,"0.101%","0.104%","0.091%","0.095%"
07/30/2020,"0.112%","0.112%","0.096%","0.096%"
07/29/2020,"0.107%","0.117%","0.094%","0.107%"
07/28/2020,"0.109%","0.119%","0.099%","0.114%"
07/27/2020,"0.119%","0.119%","0.099%","0.109%"
07/24/2020,"0.117%","0.124%","0.096%","0.110%"
07/23/2020,"0.129%","0.134%","0.104%","0.118%"
07/22/2020,"0.124%","0.134%","0.107%","0.134%"
07/21/2020,"0.124%","0.134%","0.109%","0.123%"
07/20/2020,"0.119%","0.127%","0.109%","0.117%"
07/17/2020,"0.119%","0.132%","0.107%","0.119%"
07/16/2020,"0.145%","0.145%","0.112%","0.117%"
07/15/2020,"0.147%","0.160%","0.127%","0.145%"
07/14/2020,"0.142%","0.155%","0.130%","0.145%"
07/13/2020,"0.140%","0.150%","0.120%","0.140%"
07/10/2020,"0.142%","0.142%","0.124%","0.125%"
07/09/2020,"0.150%","0.153%","0.127%","0.133%"
07/08/2020,"0.150%","0.163%","0.134%","0.142%"
07/07/2020,"0.155%","0.163%","0.137%","0.148%"
07/06/2020,"0.145%","0.160%","0.132%","0.150%"
07/02/2020,"0.145%","0.162%","0.124%","0.143%"
07/01/2020,"0.157%","0.165%","0.122%","0.137%"
06/30/2020,"0.140%","0.167%","0.132%","0.152%"
06/29/2020,"0.155%","0.155%","0.134%","0.140%"
06/26/2020,"0.145%","0.160%","0.138%","0.152%"
06/25/2020,"0.155%","0.157%","0.137%","0.145%"
06/24/2020,"0.155%","0.160%","0.137%","0.147%"
06/23/2020,"0.162%","0.165%","0.137%","0.155%"
06/22/2020,"0.162%","0.167%","0.150%","0.155%"
06/19/2020,"0.160%","0.170%","0.147%","0.152%"
06/18/2020,"0.175%","0.180%","0.142%","0.155%"
06/17/2020,"0.178%","0.185%","0.155%","0.175%"
06/16/2020,"0.167%","0.188%","0.158%","0.172%"
06/15/2020,"0.175%","0.183%","0.150%","0.165%"
06/12/2020,"0.173%","0.193%","0.147%","0.181%"
06/11/2020,"0.173%","0.191%","0.157%","0.183%"
06/10/2020,"0.188%","0.193%","0.150%","0.168%"
06/09/2020,"0.172%","0.206%","0.157%","0.180%"
06/08/2020,"0.170%","0.175%","0.140%","0.168%"
06/05/2020,"0.157%","0.172%","0.127%","0.153%"
06/04/2020,"0.160%","0.167%","0.130%","0.152%"
06/03/2020,"0.147%","0.172%","0.120%","0.155%"
06/02/2020,"0.145%","0.165%","0.112%","0.150%"
06/01/2020,"0.148%","0.158%","0.123%","0.137%"
05/29/2020,"0.153%","0.163%","0.132%","0.143%"
05/28/2020,"0.153%","0.173%","0.137%","0.150%"
05/27/2020,"0.127%","0.160%","0.117%","0.150%"
05/26/2020,"0.127%","0.140%","0.109%","0.132%"
05/24/2020,"0.117%","0.127%","0.109%","0.115%"
05/22/2020,"0.130%","0.142%","0.102%","0.117%"
05/21/2020,"0.125%","0.145%","0.099%","0.123%"
05/20/2020,"0.130%","0.137%","0.092%","0.122%"
05/19/2020,"0.127%","0.140%","0.107%","0.127%"
05/18/2020,"0.125%","0.140%","0.109%","0.122%"
05/15/2020,"0.127%","0.137%","0.109%","0.122%"
05/14/2020,"0.130%","0.137%","0.104%","0.120%"
05/13/2020,"0.135%","0.140%","0.109%","0.130%"
05/12/2020,"0.140%","0.148%","0.107%","0.132%"
05/11/2020,"0.120%","0.130%","0.104%","0.128%"
05/08/2020,"0.114%","0.127%","0.102%","0.120%"
05/07/2020,"0.130%","0.130%","0.093%","0.112%"
05/06/2020,"0.130%","0.140%","0.099%","0.130%"
05/05/2020,"0.109%","0.140%","0.092%","0.125%"
05/04/2020,"0.107%","0.130%","0.097%","0.109%"
05/01/2020,"0.094%","0.117%","0.094%","0.107%"
04/30/2020,"0.107%","0.122%","0.084%","0.107%"
04/29/2020,"0.114%","0.135%","0.076%","0.102%"
04/28/2020,"0.127%","0.127%","0.084%","0.114%"
04/27/2020,"0.120%","0.140%","0.104%","0.127%"
04/24/2020,"0.127%","0.140%","0.084%","0.120%"
04/23/2020,"0.107%","0.135%","0.074%","0.114%"
04/22/2020,"0.107%","0.135%","0.066%","0.112%"
04/21/2020,"0.122%","0.130%","0.079%","0.107%"
04/20/2020,"0.130%","0.135%","0.080%","0.113%"
04/17/2020,"0.145%","0.153%","0.104%","0.122%"
04/16/2020,"0.163%","0.165%","0.120%","0.138%"
04/15/2020,"0.203%","0.203%","0.114%","0.148%"
04/14/2020,"0.265%","0.270%","0.153%","0.181%"
04/13/2020,"0.231%","0.298%","0.220%","0.244%"
04/09/2020,"0.211%","0.254%","0.132%","0.231%"
04/08/2020,"0.140%","0.224%","0.099%","0.196%"
04/07/2020,"0.099%","0.168%","0.081%","0.155%"
04/06/2020,"0.097%","0.127%","0.074%","0.102%"
04/03/2020,"0.086%","0.107%","0.023%","0.097%"
04/02/2020,"0.094%","0.107%","0.036%","0.086%"
04/01/2020,"0.102%","0.130%","0.043%","0.079%"
03/31/2020,"0.053%","0.135%","0.028%","0.130%"
03/30/2020,"0.003%","0.076%","0.046%","0.071%"
03/27/2020,"0.056%","0.028%","0.076%","0.003%"
03/26/2020,"0.028%","0.005%","0.069%","0.048%"
03/25/2020,"0.015%","0.015%","0.051%","0.005%"
03/24/2020,"0.008%","0.031%","0.018%","0.015%"
03/23/2020,"0.033%","0.036%","0.003%","0.005%"
03/20/2020,"0.051%","0.053%","0.010%","0.033%"
03/19/2020,"0.013%","0.066%","0.008%","0.036%"
03/18/2020,"0.188%","0.188%","0.008%","0.020%"
03/17/2020,"0.257%","0.257%","0.142%","0.186%"
