Date,Close
2020-01-06,1.541
2020-01-07,1.541
2020-01-08,1.541
2020-01-09,1.536
2020-01-10,1.538
2020-01-13,1.551
2020-01-14,1.567
2020-01-15,1.569
2020-01-16,1.554
2020-01-17,1.561
2020-01-20,1.561
2020-01-21,1.554
2020-01-22,1.551
2020-01-23,1.556
2020-01-24,1.533
2020-01-27,1.552
2020-01-28,1.565
2020-01-29,1.555
2020-01-30,1.562
2020-01-31,1.549
2020-02-03,1.569
2020-02-04,1.572
2020-02-05,1.567
2020-02-06,1.567
2020-02-07,1.566
2020-02-10,1.569
2020-02-11,1.577
2020-02-12,1.582
2020-02-13,1.587
2020-02-14,1.579
2020-02-16,1.579
2020-02-18,1.582
2020-02-19,1.587
2020-02-20,1.579
2020-02-21,1.554
2020-02-24,1.513
2020-02-25,1.503
2020-02-26,1.518
2020-02-27,1.526
2020-02-28,1.295
2020-03-02,1.198
2020-03-03,0.935
2020-03-04,0.728
2020-03-05,0.624
2020-03-06,0.471
2020-03-09,0.374
2020-03-10,0.456
2020-03-11,0.417
2020-03-12,0.333
2020-03-13,0.277
2020-03-16,0.239
2020-03-17,0.186
2020-03-18,0.02
2020-03-19,0.036
2020-03-20,0.033
2020-03-23,0.005
2020-03-24,0.015
2020-03-25,0.005
2020-03-26,0.048
2020-03-27,0.003
2020-03-30,0.071
2020-03-31,0.13
2020-04-01,0.079
2020-04-02,0.086
2020-04-03,0.097
2020-04-06,0.102
2020-04-07,0.155
2020-04-08,0.196
2020-04-09,0.231
2020-04-13,0.244
2020-04-14,0.181
2020-04-15,0.148
2020-04-16,0.138
2020-04-17,0.122
2020-04-20,0.113
2020-04-21,0.107
2020-04-22,0.112
2020-04-23,0.114
2020-04-24,0.12
2020-04-27,0.127
2020-04-28,0.114
2020-04-29,0.102
2020-04-30,0.107
2020-05-01,0.107
2020-05-04,0.109
2020-05-05,0.125
2020-05-06,0.13
2020-05-07,0.112
2020-05-08,0.12
2020-05-11,0.128
2020-05-12,0.132
2020-05-13,0.13
2020-05-14,0.12
2020-05-15,0.122
2020-05-18,0.122
2020-05-19,0.127
2020-05-20,0.122
2020-05-21,0.123
2020-05-22,0.117
2020-05-24,0.115
2020-05-26,0.132
2020-05-27,0.15
2020-05-28,0.15
2020-05-29,0.143
2020-06-01,0.137
2020-06-02,0.15
2020-06-03,0.155
2020-06-04,0.152
2020-06-05,0.153
2020-06-08,0.168
2020-06-09,0.18
2020-06-10,0.168
2020-06-11,0.183
2020-06-12,0.181
2020-06-15,0.165
2020-06-16,0.172
2020-06-17,0.175
2020-06-18,0.155
2020-06-19,0.152
2020-06-22,0.155
2020-06-23,0.155
2020-06-24,0.147
2020-06-25,0.145
2020-06-26,0.152
2020-06-29,0.14
2020-06-30,0.152
2020-07-01,0.137
2020-07-02,0.143
2020-07-06,0.15
2020-07-07,0.148
2020-07-08,0.142
2020-07-09,0.133
2020-07-10,0.125
2020-07-13,0.14
2020-07-14,0.145
2020-07-15,0.145
2020-07-16,0.117
2020-07-17,0.119
2020-07-20,0.117
2020-07-21,0.123
2020-07-22,0.134
2020-07-23,0.118
2020-07-24,0.11
2020-07-27,0.109
2020-07-28,0.114
2020-07-29,0.107
2020-07-30,0.096
2020-07-31,0.095
2020-08-03,0.097
2020-08-04,0.086
2020-08-05,0.099
2020-08-06,0.097
2020-08-07,0.094
2020-08-10,0.101
2020-08-11,0.109
2020-08-12,0.107
2020-08-13,0.101
2020-08-14,0.101
2020-08-17,0.101
2020-08-18,0.096
2020-08-19,0.1
2020-08-20,0.099
2020-08-21,0.096
2020-08-24,0.096
2020-08-25,0.104
2020-08-26,0.101
2020-08-27,0.107
2020-08-28,0.107
2020-08-31,0.099
2020-09-01,0.109
2020-09-02,0.103
2020-09-03,0.107
2020-09-04,0.114
2020-09-06,0.114
2020-09-08,0.114
2020-09-09,0.117
2020-09-10,0.114
2020-09-11,0.119
